State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound
0,US,United States,"48,760,123","48,528,543","48,991,703",15.9,15.8,16,"16,396,863","16,275,868","16,517,858",22.6,22.4,22.8,"11,086,537","10,995,403","11,177,671",21,20.8,21.2,"51,371","51,318","51,424","5,014,970","4,971,692","5,058,248",25.6,25.4,25.8
1,AL,Alabama,"896,515","880,205","912,825",19,18.7,19.3,"306,451","298,963","313,939",27.6,26.9,28.3,"208,811","202,516","215,106",25.8,25,26.6,"41,610","41,143","42,077","94,623","90,649","98,597",31.6,30.3,32.9
2,AK,Alaska,"77,494","74,043","80,945",10.8,10.3,11.3,"28,125","26,359","29,891",15.3,14.3,16.3,"17,409","15,915","18,903",13.5,12.3,14.7,"66,503","65,013","67,993","9,792","8,887","10,697",18.2,16.5,19.9
4,AZ,Arizona,"1,195,931","1,177,400","1,214,462",18.7,18.4,19,"430,378","418,981","441,775",27,26.3,27.7,"291,886","282,134","301,638",25.3,24.5,26.1,"47,796","47,213","48,379","130,571","124,662","136,480",30.5,29.1,31.9
5,AR,Arkansas,"560,928","549,034","572,822",19.6,19.2,20,"196,464","190,326","202,602",28.1,27.2,29,"133,507","128,213","138,801",26.4,25.4,27.4,"40,151","39,666","40,636","59,482","56,503","62,461",31.4,29.8,33
6,CA,California,"6,323,433","6,274,914","6,371,952",17,16.9,17.1,"2,164,589","2,135,262","2,193,916",23.8,23.5,24.1,"1,499,768","1,474,007","1,525,529",22.8,22.4,23.2,"58,322","57,972","58,672","625,906","612,806","639,006",25.1,24.6,25.6
8,CO,Colorado,"688,715","674,161","703,269",13.6,13.3,13.9,"220,133","211,406","228,860",18.1,17.4,18.8,"148,544","140,781","156,307",17,16.1,17.9,"56,880","56,305","57,455","65,796","61,511","70,081",19.8,18.5,21.1
9,CT,Connecticut,"370,537","359,310","381,764",10.6,10.3,10.9,"114,613","108,840","120,386",14.6,13.9,15.3,"79,315","74,293","84,337",13.4,12.6,14.2,"67,275","66,463","68,087","32,501","29,809","35,193",17.1,15.7,18.5
10,DE,Delaware,"113,316","108,283","118,349",12.7,12.1,13.3,"38,462","36,164","40,760",19.1,18,20.2,"25,169","23,157","27,181",17.3,15.9,18.7,"58,326","57,025","59,627","12,571","11,505","13,637",23,21.1,24.9
11,DC,District of Columbia,"112,719","107,296","118,142",18.8,17.9,19.7,"31,615","28,610","34,620",29.3,26.5,32.1,"20,544","17,809","23,279",29.5,25.6,33.4,"65,231","63,678","66,784","10,588","9,497","11,679",27.7,24.8,30.6
12,FL,Florida,"3,248,276","3,212,223","3,284,329",17.2,17,17.4,"1,011,096","989,296","1,032,896",25.6,25,26.2,"693,284","673,522","713,046",24.1,23.4,24.8,"45,006","44,664","45,348","300,437","291,986","308,888",28.5,27.7,29.3
13,GA,Georgia,"1,852,459","1,826,052","1,878,866",19.2,18.9,19.5,"672,149","655,922","688,376",27.3,26.6,28,"457,339","443,269","471,409",25.6,24.8,26.4,"47,125","46,750","47,500","207,316","199,216","215,416",31.2,30,32.4
15,HI,Hawaii,"159,988","153,828","166,148",11.8,11.3,12.3,"51,557","48,450","54,664",17.2,16.2,18.2,"33,910","31,241","36,579",16.2,14.9,17.5,"66,086","64,683","67,489","16,088","14,543","17,633",18.2,16.4,20
16,ID,Idaho,"250,203","242,232","258,174",16,15.5,16.5,"89,672","85,260","94,084",21.3,20.3,22.3,"59,158","55,230","63,086",19.4,18.1,20.7,"45,296","44,435","46,157","28,783","26,880","30,686",25.2,23.5,26.9
17,IL,Illinois,"1,847,371","1,823,585","1,871,157",14.7,14.5,14.9,"621,972","606,995","636,949",20.6,20.1,21.1,"425,733","412,185","439,281",19.3,18.7,19.9,"55,126","54,725","55,527","186,178","180,107","192,249",23.3,22.5,24.1
18,IN,Indiana,"984,948","969,517","1,000,379",15.5,15.3,15.7,"345,235","335,861","354,609",22.1,21.5,22.7,"228,022","220,554","235,490",20,19.3,20.7,"46,954","46,540","47,368","110,112","104,930","115,294",26.4,25.2,27.6
19,IA,Iowa,"377,110","367,628","386,592",12.7,12.4,13,"114,105","108,686","119,524",16.1,15.3,16.9,"73,339","68,587","78,091",14.3,13.4,15.2,"50,997","50,573","51,421","37,956","35,450","40,462",19.7,18.4,21
20,KS,Kansas,"392,095","383,225","400,965",14,13.7,14.3,"135,261","130,015","140,507",19,18.3,19.7,"87,594","82,882","92,306",17.2,16.3,18.1,"50,140","49,632","50,648","44,479","42,128","46,830",22.3,21.1,23.5
21,KY,Kentucky,"821,067","805,992","836,142",19.3,18.9,19.7,"263,744","255,986","271,502",26.5,25.7,27.3,"176,603","169,899","183,307",24.6,23.7,25.5,"41,717","41,304","42,130","83,057","79,340","86,774",30.5,29.1,31.9
22,LA,Louisiana,"900,395","884,176","916,614",20.1,19.7,20.5,"315,185","305,973","324,397",28.6,27.8,29.4,"214,695","206,688","222,702",27.2,26.2,28.2,"42,998","42,346","43,650","97,087","92,654","101,520",31.5,30.1,32.9
23,ME,Maine,"186,484","180,261","192,707",14.4,13.9,14.9,"51,386","48,607","54,165",19.8,18.7,20.9,"33,943","31,498","36,388",17.6,16.3,18.9,"46,856","46,021","47,691","15,902","14,583","17,221",24.5,22.5,26.5
24,MD,Maryland,"597,705","582,396","613,014",10.4,10.1,10.7,"187,400","179,663","195,137",14.1,13.5,14.7,"123,500","116,910","130,090",12.8,12.1,13.5,"71,169","70,606","71,732","58,744","54,742","62,746",16.4,15.3,17.5
25,MA,Massachusetts,"762,971","747,896","778,046",11.9,11.7,12.1,"213,611","206,023","221,199",15.4,14.9,15.9,"144,306","137,783","150,829",14.2,13.6,14.8,"65,378","64,757","65,999","62,828","59,056","66,600",17.5,16.4,18.6
26,MI,Michigan,"1,677,776","1,655,746","1,699,806",17.4,17.2,17.6,"549,131","537,317","560,945",24.7,24.2,25.2,"376,004","365,861","386,147",22.7,22.1,23.3,"46,793","46,465","47,121","161,861","156,092","167,630",28.8,27.8,29.8
27,MN,Minnesota,"597,515","584,948","610,082",11.4,11.2,11.6,"183,595","176,905","190,285",14.6,14.1,15.1,"119,040","113,252","124,828",13.1,12.5,13.7,"58,828","58,186","59,470","58,481","55,336","61,626",17,16.1,17.9
28,MS,Mississippi,"689,116","675,487","702,745",23.8,23.3,24.3,"249,060","241,062","257,058",33.9,32.8,35,"171,183","164,008","178,358",32.1,30.8,33.4,"37,179","36,612","37,746","75,674","72,190","79,158",37.8,36.1,39.5
29,MO,Missouri,"945,435","928,975","961,895",16.2,15.9,16.5,"310,382","301,946","318,818",22.6,22,23.2,"205,173","197,856","212,490",20.6,19.9,21.3,"45,320","44,909","45,731","98,447","94,270","102,624",26.7,25.6,27.8
30,MT,Montana,"153,105","148,141","158,069",15.6,15.1,16.1,"45,923","43,663","48,183",21.1,20.1,22.1,"30,052","28,091","32,013",19.2,17.9,20.5,"45,030","44,048","46,012","14,621","13,556","15,686",24.6,22.8,26.4
31,NE,Nebraska,"230,375","223,087","237,663",12.8,12.4,13.2,"78,806","74,931","82,681",17.4,16.5,18.3,"51,189","47,880","54,498",15.9,14.9,16.9,"50,766","50,207","51,325","25,654","23,720","27,588",19.8,18.3,21.3
32,NV,Nevada,"441,373","429,406","453,340",16.2,15.8,16.6,"152,664","146,579","158,749",23.4,22.5,24.3,"101,584","96,355","106,813",21.7,20.6,22.8,"49,909","49,131","50,687","47,866","44,892","50,840",26.6,24.9,28.3
33,NH,New Hampshire,"123,773","117,494","130,052",9.7,9.2,10.2,"36,837","33,736","39,938",13.6,12.5,14.7,"24,911","22,126","27,696",12.2,10.8,13.6,"63,157","61,881","64,433","10,504","9,227","11,781",16.3,14.3,18.3
34,NJ,New Jersey,"934,277","918,190","950,364",10.7,10.5,10.9,"308,293","298,223","318,363",15.4,14.9,15.9,"208,759","199,984","217,534",14.1,13.5,14.7,"69,705","69,020","70,390","94,198","89,113","99,283",18.1,17.1,19.1
35,NM,New Mexico,"421,123","411,829","430,417",20.6,20.1,21.1,"146,710","141,848","151,572",28.9,27.9,29.9,"98,654","94,470","102,838",27,25.9,28.1,"42,828","41,985","43,671","46,398","43,975","48,821",32.9,31.2,34.6
36,NY,New York,"3,040,207","3,009,308","3,071,106",15.9,15.7,16.1,"968,025","951,475","984,575",23,22.6,23.4,"658,627","644,269","672,985",21.7,21.2,22.2,"56,357","55,989","56,725","295,328","287,185","303,471",25.8,25.1,26.5
