Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2012",, ,,,,,,,,,,,
State,Area,,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",
ALABAMA,Metropolitan Statistical Area,,"3,650,288",,,,,,,,,,
,,Area actually reporting,98.9%,"16,842",283,981,"4,517","11,061","133,153","37,131","88,221","7,801",
,,Estimated total,100.0%,"17,034",285,990,"4,562","11,197","134,817","37,524","89,402","7,891",
,Cities outside metropolitan areas,,"530,240",,,,,,,,,,
,,Area actually reporting,94.1%,"2,813",28,177,364,"2,244","22,441","5,530","15,765","1,146",
,,Estimated total,100.0%,"2,972",30,186,380,"2,376","23,541","5,817","16,518","1,206",
,Nonmetropolitan counties,,"641,495",,,,,,,,,,
,,Area actually reporting,99.2%,"1,674",27,119,77,"1,451","10,438","4,108","5,559",771,
,,Estimated total,100.0%,"1,687",27,120,78,"1,462","10,520","4,140","5,603",777,
,State Total,,"4,822,023","21,693",342,"1,296","5,020","15,035","168,878","47,481","111,523","9,874",
,,"Rate per 100,000 inhabitants",,449.9,7.1,26.9,104.1,311.8,"3,502.2",984.7,"2,312.8",204.8,
ALASKA,Metropolitan Statistical Area,,"348,132",,,,,,,,,,
,,Area actually reporting,100.0%,"2,726",18,336,535,"1,837","12,893","1,384","10,518",991,
,Cities outside metropolitan areas,,"127,551",,,,,,,,,,
,,Area actually reporting,96.5%,699,4,103,56,536,"3,645",422,"2,979",244,
,,Estimated total,100.0%,724,4,107,58,555,"3,777",437,"3,087",253,
,Nonmetropolitan counties,,"255,766",,,,,,,,,,
,,Area actually reporting,100.0%,962,8,140,37,777,"3,367","1,129","1,960",278,
,State Total,,"731,449","4,412",30,583,630,"3,169","20,037","2,950","15,565","1,522",
,,"Rate per 100,000 inhabitants",,603.2,4.1,79.7,86.1,433.2,"2,739.4",403.3,"2,128.0",208.1,
ARIZONA,Metropolitan Statistical Area,,"6,202,680",,,,,,,,,,
,,Area actually reporting,99.8%,"25,286",324,"1,733","7,251","15,978","219,952","49,185","153,015","17,752",
,,Estimated total,100.0%,"25,312",324,"1,735","7,257","15,996","220,275","49,249","153,254","17,772",
,Cities outside metropolitan areas, ,"125,367",, ,,,,,,,,
,,Area actually reporting,78.9%,"1,909",25,417,88,"1,379","7,424","2,259","4,199",966,
,,Estimated total,100.0%,"2,418",32,528,111,"1,747","9,405","2,862","5,319","1,224",
,Nonmetropolitan counties, ,"225,208",,,,,,,,,,
,,Area actually reporting,100.0%,378,2,14,18,344,"2,250",823,"1,265",162,
,State Total,,"6,553,255","28,108",358,"2,277","7,386","18,087","231,930","52,934","159,838","19,158",
,,"Rate per 100,000 inhabitants",,428.9,5.5,34.7,112.7,276.0,"3,539.2",807.8,"2,439.1",292.3,
ARKANSAS,Metropolitan Statistical Area,,"1,782,720",,,,,,,,,,
,,Area actually reporting,92.5%,"9,710",118,801,"1,894","6,897","71,252","19,357","48,012","3,883",
,,Estimated total,100.0%,"10,163",122,853,"1,913","7,275","73,787","20,322","49,371","4,094",
,Cities outside metropolitan areas,,"510,920",, ,,,,,,,,
,,Area actually reporting ,98.7%,"2,273",33,231,342,"1,667","21,509","7,274","13,549",686,
,,Estimated total,100.0%,"2,303",33,234,347,"1,689","21,796","7,371","13,730",695,
,Nonmetropolitan counties,,"655,491",,,,,,,,,,
,,Area actually reporting,89.0%,"1,217",16,142,53,"1,006","10,995","3,734","6,429",832,
